Provinsi,2018_production,2019_production,2020_production,2021_production,2022_production,2023_production,2018_cluster,2019_cluster,2020_cluster,2021_cluster,2022_cluster,2023_cluster,Provinsi_English
ACEH,57072,12312,3824,774,1406,3934,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Aceh
SUMATERA UTARA,401949,512431,452308,453118,584728,539082,Sedang,Sedang,Sedang,Sedang,Tinggi,Tinggi,North Sumatra
SUMATERA BARAT,201097,284134,321917,303344,389413,360894,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,West Sumatra
RIAU,35010,12224,7000,4066,2380,6725,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Riau
JAMBI,17500,22702,30341,42392,69078,42869,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Jambi
SUMATERA SELATAN,179466,136806,183084,185928,229672,221202,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,South Sumatra
BENGKULU,1361,10841,6739,8250,8277,9816,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Bengkulu
LAMPUNG,113298,130824,193270,197993,213206,235555,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Lampung
KEP. BANGKA BELITUNG,5805,10579,8436,27037,22741,32166,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Bangka-Belitung
KEP. RIAU,3868,13987,16111,17822,20897,20143,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Riau Islands
DKI JAKARTA,28904,17256,17967,21039,25505,23895,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Jakarta
JAWA BARAT,802859,468872,587201,661895,699384,787467,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Tinggi,West Java
JAWA TENGAH,586399,499631,659387,735883,827711,875492,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Tinggi,Central Java
DI YOGYAKARTA,111612,62845,107288,129785,168303,154407,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Yogyakarta
JAWA TIMUR,1320412,1632492,1622995,1475886,1314114,1755885,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,East Java
BANTEN,218054,204375,244612,235099,318552,265716,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Banten
BALI,155160,186310,193926,191589,176855,227936,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Bali
NUSA TENGGARA BARAT,20441,33946,42451,45991,40154,54716,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,West Nusa Tenggara
NUSA TENGGARA TIMUR,18968,9186,3885,5229,6266,6222,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,East Nusa Tenggara
KALIMANTAN BARAT,80389,115402,70496,53475,70235,63620,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,West Kalimantan
KALIMANTAN TENGAH,1551,7390,7338,8396,3050,9989,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Central Kalimantan
KALIMANTAN SELATAN,108110,86776,87548,84160,106115,100127,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,South Kalimantan
KALIMANTAN TIMUR,8592,33346,26867,30229,29051,35964,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,East Kalimantan
KALIMANTAN UTARA,7335,607,1405,2213,1014,2633,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,North Kalimantan
SULAWESI UTARA,14267,26587,32996,33302,30760,39620,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,North Sulawesi
SULAWESI TENGAH,12068,13834,19360,17528,13208,20853,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Central Sulawesi
SULAWESI SELATAN,140662,194650,180414,176766,188248,210302,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,South Sulawesi
SULAWESI TENGGARA,4578,2831,3014,2134,1459,2717,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Southeast Sulawesi
GORONTALO,6180,3819,4177,2728,2164,3570,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Gorontalo
SULAWESI BARAT,15034,2482,948,164,541,1019,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,West Sulawesi
MALUKU,5,619,1048,1265,1691,1482,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Maluku
MALUKU UTARA,15034,88,159,37,160,185,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,North Maluku
PAPUA BARAT,24974,8225,6160,7517,9648,8943,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,West Papua
PAPUA BARAT DAYA,267892,271621,293803,294628,318076,257210,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Southwest Papua
PAPUA,160,12214,14848,13987,15843,16641,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Papua
PAPUA SELATAN,267892,271621,293803,294628,318076,257210,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,South Papua
PAPUA TENGAH,267892,271621,293803,294628,318076,257210,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Central Papua
PAPUA PEGUNUNGAN,267892,271621,293803,294628,318076,257210,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah,Highlands Papua
